order_number,product_key,customer_key,order_date,ship_date,due_date,sales,quantity,price
SO44010,31,2681,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44011,31,2515,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44012,15,53,2011-02-17,2011-02-24,2011-03-01,3375,1,3375
SO44013,28,5929,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44014,29,16918,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44015,27,2694,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44016,16,248,2011-02-18,2011-02-25,2011-03-02,3375,1,3375
SO44017,31,17079,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44018,16,14877,2011-02-18,2011-02-25,2011-03-02,3375,1,3375
SO44019,31,5702,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44020,27,5932,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44021,14,33,2011-02-18,2011-02-25,2011-03-02,3375,1,3375
SO44022,29,11009,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44023,15,8831,2011-02-19,2011-02-26,2011-03-03,3375,1,3375
SO44024,30,5664,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44025,30,5709,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44026,31,6046,2011-02-19,2011-02-26,2011-03-03,3578,1,3578
SO44027,31,10922,2011-02-20,2011-02-27,2011-03-04,3578,1,3578
SO44028,28,6049,2011-02-20,2011-02-27,2011-03-04,3578,1,3578
SO44029,16,51,2011-02-20,2011-02-27,2011-03-04,3375,1,3375
SO44030,27,1132,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44031,29,2690,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44032,18,244,2011-02-21,2011-02-28,2011-03-05,3400,1,3400
SO44033,30,5694,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44034,29,5703,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44035,28,5708,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44036,31,6047,2011-02-21,2011-02-28,2011-03-05,3578,1,3578
SO44037,62,14273,2011-02-21,2011-02-28,2011-03-05,699,1,699
SO44038,18,14869,2011-02-21,2011-02-28,2011-03-05,3400,1,3400
SO44039,57,6972,2011-02-22,2011-03-01,2011-03-06,699,1,699
SO44040,17,58,2011-02-22,2011-03-01,2011-03-06,3375,1,3375
SO44041,29,5743,2011-02-22,2011-03-01,2011-03-06,3578,1,3578
SO44042,29,2679,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44043,27,2680,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44044,30,2691,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44045,18,17395,2011-02-23,2011-03-02,2011-03-07,3400,1,3400
SO44046,29,17065,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44047,18,14879,2011-02-23,2011-03-02,2011-03-07,3400,1,3400
SO44048,30,5714,2011-02-23,2011-03-02,2011-03-07,3578,1,3578
SO44049,30,2539,2011-02-24,2011-03-03,2011-03-08,3578,1,3578
SO44050,31,6051,2011-02-24,2011-03-03,2011-03-08,3578,1,3578
SO44051,31,2692,2011-02-25,2011-03-04,2011-03-09,3578,1,3578
SO44052,30,5638,2011-02-25,2011-03-04,2011-03-09,3578,1,3578
SO44053,55,8330,2011-02-26,2011-03-05,2011-03-10,699,1,699
SO44054,30,2543,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44055,31,2544,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44056,30,2560,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44057,55,3578,2011-02-26,2011-03-05,2011-03-10,699,1,699
SO44058,16,57,2011-02-26,2011-03-05,2011-03-10,3375,1,3375
SO44059,29,5689,2011-02-26,2011-03-05,2011-03-10,3578,1,3578
SO44060,57,14274,2011-02-26,2011-03-05,2011-03-10,699,1,699
SO44061,31,16920,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44062,31,17042,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44063,18,241,2011-02-27,2011-03-06,2011-03-11,3400,1,3400
SO44064,31,11051,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44065,31,17063,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44066,18,14868,2011-02-27,2011-03-06,2011-03-11,3400,1,3400
SO44067,31,6050,2011-02-27,2011-03-06,2011-03-11,3578,1,3578
SO44068,29,2542,2011-02-28,2011-03-07,2011-03-12,3578,1,3578
SO44069,15,17396,2011-02-28,2011-03-07,2011-03-12,3375,1,3375
SO44070,15,8830,2011-02-28,2011-03-07,2011-03-12,3375,1,3375
SO44071,29,5692,2011-02-28,2011-03-07,2011-03-12,3578,1,3578
SO44072,27,5657,2011-02-28,2011-03-07,2011-03-12,3578,1,3578
SO44073,17,45,2011-02-28,2011-03-07,2011-03-12,3375,1,3375
SO44134,31,2822,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44135,31,17157,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44136,27,11115,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44137,30,6329,2011-03-01,2011-03-08,2011-03-13,3578,1,3578
SO44138,31,2766,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44139,27,2793,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44140,27,1222,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44141,29,2573,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44142,29,11059,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44143,29,17146,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44144,28,6072,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44145,31,6310,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44146,29,6311,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44147,31,6321,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44148,31,17173,2011-03-03,2011-03-10,2011-03-15,3578,1,3578
SO44149,28,6243,2011-03-03,2011-03-10,2011-03-15,3578,1,3578
SO44150,28,6316,2011-03-03,2011-03-10,2011-03-15,3578,1,3578
SO44151,62,14559,2011-03-03,2011-03-10,2011-03-15,699,1,699
SO44152,20,335,2011-03-04,2011-03-11,2011-03-16,3400,1,3400
SO44153,28,17169,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44154,27,17182,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44155,29,17132,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44156,20,14888,2011-03-04,2011-03-11,2011-03-16,3400,1,3400
SO44157,30,6056,2011-03-04,2011-03-11,2011-03-16,3578,1,3578
SO44158,27,2568,2011-03-05,2011-03-12,2011-03-17,3578,1,3578
SO44159,27,17183,2011-03-05,2011-03-12,2011-03-17,3578,1,3578
SO44160,28,17187,2011-03-05,2011-03-12,2011-03-17,3578,1,3578
SO44161,30,2773,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44162,27,17186,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44163,30,17194,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44164,31,17089,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44165,29,6066,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44166,55,3582,2011-03-06,2011-03-13,2011-03-18,699,1,699
SO44167,30,6309,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44168,29,1212,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44169,27,17180,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44170,30,17184,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44171,29,17113,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44172,55,3585,2011-03-07,2011-03-14,2011-03-19,699,1,699
SO44173,28,2785,2011-03-08,2011-03-15,2011-03-20,3578,1,3578
SO44174,27,6230,2011-03-08,2011-03-15,2011-03-20,3578,1,3578
SO44175,29,6247,2011-03-08,2011-03-15,2011-03-20,3578,1,3578
SO44176,30,1221,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44177,16,338,2011-03-09,2011-03-16,2011-03-21,3375,1,3375
SO44178,28,17098,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44179,16,14889,2011-03-09,2011-03-16,2011-03-21,3375,1,3375
SO44180,21,59,2011-03-09,2011-03-16,2011-03-21,3400,1,3400
SO44181,28,6295,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44182,31,6300,2011-03-09,2011-03-16,2011-03-21,3578,1,3578
SO44183,31,17159,2011-03-10,2011-03-17,2011-03-22,3578,1,3578
SO44184,30,6248,2011-03-10,2011-03-17,2011-03-22,3578,1,3578
SO44185,31,6281,2011-03-10,2011-03-17,2011-03-22,3578,1,3578
SO44186,21,14890,2011-03-12,2011-03-19,2011-03-24,3400,1,3400
SO44187,29,6070,2011-03-12,2011-03-19,2011-03-24,3578,1,3578
SO44188,59,9053,2011-03-13,2011-03-20,2011-03-25,699,1,699
SO44189,65,9055,2011-03-13,2011-03-20,2011-03-25,699,1,699
SO44190,14,62,2011-03-13,2011-03-20,2011-03-25,3375,1,3375
SO44191,31,6249,2011-03-13,2011-03-20,2011-03-25,3578,1,3578
