product_key,product_id,category_id,product_number,product_name,product_cost,product_line,start_date,category,sub_category,maintenance
28,312,BI_RB,BK-R93R-48,Road-150 Red- 48,2171,Road,2011-07-01,Bikes,Road Bikes,Yes
29,313,BI_RB,BK-R93R-52,Road-150 Red- 52,2171,Road,2011-07-01,Bikes,Road Bikes,Yes
30,314,BI_RB,BK-R93R-56,Road-150 Red- 56,2171,Road,2011-07-01,Bikes,Road Bikes,Yes
31,310,BI_RB,BK-R93R-62,Road-150 Red- 62,2171,Road,2011-07-01,Bikes,Road Bikes,Yes
32,368,BI_RB,BK-R89R-44,Road-250 Red- 44,1519,Road,2012-07-01,Bikes,Road Bikes,Yes
33,369,BI_RB,BK-R89R-48,Road-250 Red- 48,1519,Road,2012-07-01,Bikes,Road Bikes,Yes
34,370,BI_RB,BK-R89R-52,Road-250 Red- 52,1519,Road,2012-07-01,Bikes,Road Bikes,Yes
35,461,CL_BS,SB-M891-L,Men's Bib-Shorts- L,37,Other Sales,2012-07-01,Clothing,Bib-Shorts,No
36,460,CL_BS,SB-M891-M,Men's Bib-Shorts- M,37,Other Sales,2012-07-01,Clothing,Bib-Shorts,No
37,459,CL_BS,SB-M891-S,Men's Bib-Shorts- S,37,Other Sales,2012-07-01,Clothing,Bib-Shorts,No
38,470,CL_GL,GL-F110-L,Full-Finger Gloves- L,16,Mountain,2012-07-01,Clothing,Gloves,No
39,469,CL_GL,GL-F110-M,Full-Finger Gloves- M,16,Mountain,2012-07-01,Clothing,Gloves,No
40,468,CL_GL,GL-F110-S,Full-Finger Gloves- S,16,Mountain,2012-07-01,Clothing,Gloves,No
41,458,CL_TI,TG-W091-L,Women's Tights- L,31,Other Sales,2012-07-01,Clothing,Tights,No
42,457,CL_TI,TG-W091-M,Women's Tights- M,31,Other Sales,2012-07-01,Clothing,Tights,No
43,456,CL_TI,TG-W091-S,Women's Tights- S,31,Other Sales,2012-07-01,Clothing,Tights,No
44,451,AC_LI,LT-H902,Headlights - Dual-Beam,14,Road,2012-07-01,Accessories,Lights,Yes
45,452,AC_LI,LT-H903,Headlights - Weatherproof,19,Road,2012-07-01,Accessories,Lights,Yes
46,450,AC_LI,LT-T990,Taillights - Battery-Powered,6,Road,2012-07-01,Accessories,Lights,Yes
47,447,AC_LO,LO-C100,Cable Lock,10,Other Sales,2012-07-01,Accessories,Locks,Yes
48,446,AC_PA,PA-T100,Touring-Panniers- Large,52,Touring,2012-07-01,Accessories,Panniers,No
49,448,AC_PU,PU-0452,Minipump,8,Other Sales,2012-07-01,Accessories,Pumps,Yes
50,449,AC_PU,PU-M044,Mountain Pump,10,Mountain,2012-07-01,Accessories,Pumps,Yes
51,364,BI_MB,BK-M47B-38,Mountain-300 Black- 38,598,Mountain,2012-07-01,Bikes,Mountain Bikes,Yes
52,365,BI_MB,BK-M47B-40,Mountain-300 Black- 40,598,Mountain,2012-07-01,Bikes,Mountain Bikes,Yes
53,366,BI_MB,BK-M47B-44,Mountain-300 Black- 44,598,Mountain,2012-07-01,Bikes,Mountain Bikes,Yes
54,367,BI_MB,BK-M47B-48,Mountain-300 Black- 48,598,Mountain,2012-07-01,Bikes,Mountain Bikes,Yes
55,339,BI_RB,BK-R50B-44,Road-650 Black- 44,487,Road,2012-07-01,Bikes,Road Bikes,Yes
56,341,BI_RB,BK-R50B-48,Road-650 Black- 48,487,Road,2012-07-01,Bikes,Road Bikes,Yes
57,343,BI_RB,BK-R50B-52,Road-650 Black- 52,487,Road,2012-07-01,Bikes,Road Bikes,Yes
58,333,BI_RB,BK-R50B-58,Road-650 Black- 58,487,Road,2012-07-01,Bikes,Road Bikes,Yes
59,335,BI_RB,BK-R50B-60,Road-650 Black- 60,487,Road,2012-07-01,Bikes,Road Bikes,Yes
60,337,BI_RB,BK-R50B-62,Road-650 Black- 62,487,Road,2012-07-01,Bikes,Road Bikes,Yes
61,327,BI_RB,BK-R50R-44,Road-650 Red- 44,487,Road,2012-07-01,Bikes,Road Bikes,Yes
62,329,BI_RB,BK-R50R-48,Road-650 Red- 48,487,Road,2012-07-01,Bikes,Road Bikes,Yes
63,331,BI_RB,BK-R50R-52,Road-650 Red- 52,487,Road,2012-07-01,Bikes,Road Bikes,Yes
64,321,BI_RB,BK-R50R-58,Road-650 Red- 58,487,Road,2012-07-01,Bikes,Road Bikes,Yes
65,323,BI_RB,BK-R50R-60,Road-650 Red- 60,487,Road,2012-07-01,Bikes,Road Bikes,Yes
66,325,BI_RB,BK-R50R-62,Road-650 Red- 62,487,Road,2012-07-01,Bikes,Road Bikes,Yes
67,454,CL_SH,SH-M897-L,Men's Sports Shorts- L,25,Other Sales,2012-07-01,Clothing,Shorts,No
68,453,CL_SH,SH-M897-M,Men's Sports Shorts- M,25,Other Sales,2012-07-01,Clothing,Shorts,No
69,445,CL_SH,SH-M897-S,Men's Sports Shorts- S,25,Other Sales,2012-07-01,Clothing,Shorts,No
70,455,CL_SH,SH-M897-X,Men's Sports Shorts- XL,25,Other Sales,2012-07-01,Clothing,Shorts,No
71,391,CO_FO,FK-1639,LL Fork,66,N/A,2012-07-01,Components,Forks,Yes
72,392,CO_FO,FK-5136,ML Fork,78,N/A,2012-07-01,Components,Forks,Yes
73,393,CO_FO,FK-9939,HL Fork,102,N/A,2012-07-01,Components,Forks,Yes
74,394,CO_HS,HS-0296,LL Headset,15,N/A,2012-07-01,Components,Headsets,No
75,395,CO_HS,HS-2451,ML Headset,45,N/A,2012-07-01,Components,Headsets,No
76,396,CO_HS,HS-3479,HL Headset,55,N/A,2012-07-01,Components,Headsets,No
77,409,CO_MF,FR-M63B-38,ML Mountain Frame - Black- 38,186,Mountain,2012-07-01,Components,Mountain Frames,Yes
78,426,CO_MF,FR-M63B-40,ML Mountain Frame - Black- 40,186,Mountain,2012-07-01,Components,Mountain Frames,Yes
79,427,CO_MF,FR-M63B-44,ML Mountain Frame - Black- 44,186,Mountain,2012-07-01,Components,Mountain Frames,Yes
80,428,CO_MF,FR-M63B-48,ML Mountain Frame - Black- 48,186,Mountain,2012-07-01,Components,Mountain Frames,Yes
81,263,CO_RF,FR-R38R-44,LL Road Frame - Red- 44,187,Road,2012-07-01,Components,Road Frames,Yes
82,265,CO_RF,FR-R38R-48,LL Road Frame - Red- 48,187,Road,2012-07-01,Components,Road Frames,Yes
83,267,CO_RF,FR-R38R-52,LL Road Frame - Red- 52,187,Road,2012-07-01,Components,Road Frames,Yes
84,269,CO_RF,FR-R38R-58,LL Road Frame - Red- 58,187,Road,2012-07-01,Components,Road Frames,Yes
85,271,CO_RF,FR-R38R-60,LL Road Frame - Red- 60,187,Road,2012-07-01,Components,Road Frames,Yes
86,273,CO_RF,FR-R38R-62,LL Road Frame - Red- 62,187,Road,2012-07-01,Components,Road Frames,Yes
87,410,CO_WH,FW-M423,LL Mountain Front Wheel,27,Mountain,2012-07-01,Components,Wheels,Yes
88,411,CO_WH,FW-M762,ML Mountain Front Wheel,93,Mountain,2012-07-01,Components,Wheels,Yes
89,412,CO_WH,FW-M928,HL Mountain Front Wheel,133,Mountain,2012-07-01,Components,Wheels,Yes
90,413,CO_WH,FW-R623,LL Road Front Wheel,38,Road,2012-07-01,Components,Wheels,Yes
91,414,CO_WH,FW-R762,ML Road Front Wheel,110,Road,2012-07-01,Components,Wheels,Yes
92,415,CO_WH,FW-R820,HL Road Front Wheel,147,Road,2012-07-01,Components,Wheels,Yes
93,416,CO_WH,FW-T905,Touring Front Wheel,97,Touring,2012-07-01,Components,Wheels,Yes
94,419,CO_WH,RW-M423,LL Mountain Rear Wheel,39,Mountain,2012-07-01,Components,Wheels,Yes
95,420,CO_WH,RW-M762,ML Mountain Rear Wheel,105,Mountain,2012-07-01,Components,Wheels,Yes
96,421,CO_WH,RW-M928,HL Mountain Rear Wheel,145,Mountain,2012-07-01,Components,Wheels,Yes
97,422,CO_WH,RW-R623,LL Road Rear Wheel,50,Road,2012-07-01,Components,Wheels,Yes
98,423,CO_WH,RW-R762,ML Road Rear Wheel,122,Road,2012-07-01,Components,Wheels,Yes
99,424,CO_WH,RW-R820,HL Road Rear Wheel,159,Road,2012-07-01,Components,Wheels,Yes
100,425,CO_WH,RW-T905,Touring Rear Wheel,109,Touring,2012-07-01,Components,Wheels,Yes
101,418,CO_RF,FR-R72Y-38,ML Road Frame-W - Yellow- 38,361,Road,2013-07-01,Components,Road Frames,Yes
102,430,CO_RF,FR-R72Y-40,ML Road Frame-W - Yellow- 40,361,Road,2013-07-01,Components,Road Frames,Yes
103,432,CO_RF,FR-R72Y-42,ML Road Frame-W - Yellow- 42,361,Road,2013-07-01,Components,Road Frames,Yes
104,434,CO_RF,FR-R72Y-44,ML Road Frame-W - Yellow- 44,361,Road,2013-07-01,Components,Road Frames,Yes
105,436,CO_RF,FR-R72Y-48,ML Road Frame-W - Yellow- 48,361,Road,2013-07-01,Components,Road Frames,Yes
106,440,CO_RF,FR-R92B-44,HL Road Frame - Black- 44,869,Road,2013-07-01,Components,Road Frames,Yes
107,442,CO_RF,FR-R92B-48,HL Road Frame - Black- 48,869,Road,2013-07-01,Components,Road Frames,Yes
108,444,CO_RF,FR-R92B-52,HL Road Frame - Black- 52,869,Road,2013-07-01,Components,Road Frames,Yes
109,295,CO_MF,FR-M94S-46,HL Mountain Frame - Silver- 46,747,Mountain,2013-07-01,Components,Mountain Frames,Yes
110,438,CO_RF,FR-R92B-62,HL Road Frame - Black- 62,869,Road,2013-07-01,Components,Road Frames,Yes
111,243,CO_RF,FR-R92R-44,HL Road Frame - Red- 44,869,Road,2013-07-01,Components,Road Frames,Yes
112,246,CO_RF,FR-R92R-48,HL Road Frame - Red- 48,869,Road,2013-07-01,Components,Road Frames,Yes
113,249,CO_RF,FR-R92R-52,HL Road Frame - Red- 52,869,Road,2013-07-01,Components,Road Frames,Yes
114,252,CO_RF,FR-R92R-56,HL Road Frame - Red- 56,869,Road,2013-07-01,Components,Road Frames,Yes
115,309,CO_MF,FR-M94S-38,HL Mountain Frame - Silver- 38,747,Mountain,2013-07-01,Components,Mountain Frames,Yes
116,290,CO_MF,FR-M94S-42,HL Mountain Frame - Silver- 42,747,Mountain,2013-07-01,Components,Mountain Frames,Yes
117,303,CO_MF,FR-M94B-46,HL Mountain Frame - Black- 46,739,Mountain,2013-07-01,Components,Mountain Frames,Yes
118,542,CO_PE,PD-M282,LL Mountain Pedal,18,Mountain,2013-07-01,,,
119,543,CO_PE,PD-M340,ML Mountain Pedal,28,Mountain,2013-07-01,,,
120,544,CO_PE,PD-M562,HL Mountain Pedal,36,Mountain,2013-07-01,,,
121,545,CO_PE,PD-R347,LL Road Pedal,18,Road,2013-07-01,,,
122,546,CO_PE,PD-R563,ML Road Pedal,28,Road,2013-07-01,,,
123,547,CO_PE,PD-R853,HL Road Pedal,36,Road,2013-07-01,,,
124,548,CO_PE,PD-T852,Touring Pedal,36,Touring,2013-07-01,,,
125,281,CO_RF,FR-R38B-44,LL Road Frame - Black- 44,205,Road,2013-07-01,Components,Road Frames,Yes
126,284,CO_RF,FR-R38B-48,LL Road Frame - Black- 48,205,Road,2013-07-01,Components,Road Frames,Yes
127,287,CO_RF,FR-R38B-52,LL Road Frame - Black- 52,205,Road,2013-07-01,Components,Road Frames,Yes
128,255,CO_RF,FR-R38B-58,LL Road Frame - Black- 58,205,Road,2013-07-01,Components,Road Frames,Yes
129,258,CO_RF,FR-R38B-60,LL Road Frame - Black- 60,205,Road,2013-07-01,Components,Road Frames,Yes
130,261,CO_RF,FR-R38B-62,LL Road Frame - Black- 62,205,Road,2013-07-01,Components,Road Frames,Yes
131,240,CO_RF,FR-R92R-62,HL Road Frame - Red- 62,869,Road,2013-07-01,Components,Road Frames,Yes
132,515,CO_SA,SE-M236,LL Mountain Seat/Saddle,12,Mountain,2013-07-01,Components,Saddles,No
133,516,CO_SA,SE-M798,ML Mountain Seat/Saddle,17,Mountain,2013-07-01,Components,Saddles,No
134,517,CO_SA,SE-M940,HL Mountain Seat/Saddle,23,Mountain,2013-07-01,Components,Saddles,No
135,518,CO_SA,SE-R581,LL Road Seat/Saddle,12,Road,2013-07-01,Components,Saddles,No
136,519,CO_SA,SE-R908,ML Road Seat/Saddle,17,Touring,2013-07-01,Components,Saddles,No
137,520,CO_SA,SE-R995,HL Road Seat/Saddle,23,Road,2013-07-01,Components,Saddles,No
138,521,CO_SA,SE-T312,LL Touring Seat/Saddle,12,Touring,2013-07-01,Components,Saddles,No
139,522,CO_SA,SE-T762,ML Touring Seat/Saddle,17,Touring,2013-07-01,Components,Saddles,No
140,523,CO_SA,SE-T924,HL Touring Seat/Saddle,23,Touring,2013-07-01,Components,Saddles,No
141,510,CO_TF,FR-T67U-44,LL Touring Frame - Blue- 44,200,Touring,2013-07-01,Components,Touring Frames,Yes
142,502,CO_TF,FR-T67U-50,LL Touring Frame - Blue- 50,200,Touring,2013-07-01,Components,Touring Frames,Yes
143,503,CO_TF,FR-T67U-54,LL Touring Frame - Blue- 54,200,Touring,2013-07-01,Components,Touring Frames,Yes
144,504,CO_TF,FR-T67U-58,LL Touring Frame - Blue- 58,200,Touring,2013-07-01,Components,Touring Frames,Yes
145,505,CO_TF,FR-T67U-62,LL Touring Frame - Blue- 62,200,Touring,2013-07-01,Components,Touring Frames,Yes
146,506,CO_TF,FR-T67Y-44,LL Touring Frame - Yellow- 44,200,Touring,2013-07-01,Components,Touring Frames,Yes
147,507,CO_TF,FR-T67Y-50,LL Touring Frame - Yellow- 50,200,Touring,2013-07-01,Components,Touring Frames,Yes
148,508,CO_TF,FR-T67Y-54,LL Touring Frame - Yellow- 54,200,Touring,2013-07-01,Components,Touring Frames,Yes
149,509,CO_TF,FR-T67Y-58,LL Touring Frame - Yellow- 58,200,Touring,2013-07-01,Components,Touring Frames,Yes
150,493,CO_TF,FR-T67Y-62,LL Touring Frame - Yellow- 62,200,Touring,2013-07-01,Components,Touring Frames,Yes
151,497,CO_TF,FR-T98U-46,HL Touring Frame - Blue- 46,602,Touring,2013-07-01,Components,Touring Frames,Yes
152,498,CO_TF,FR-T98U-50,HL Touring Frame - Blue- 50,602,Touring,2013-07-01,Components,Touring Frames,Yes
153,499,CO_TF,FR-T98U-54,HL Touring Frame - Blue- 54,602,Touring,2013-07-01,Components,Touring Frames,Yes
154,500,CO_TF,FR-T98U-60,HL Touring Frame - Blue- 60,602,Touring,2013-07-01,Components,Touring Frames,Yes
155,494,CO_TF,FR-T98Y-46,HL Touring Frame - Yellow- 46,602,Touring,2013-07-01,Components,Touring Frames,Yes
156,495,CO_TF,FR-T98Y-50,HL Touring Frame - Yellow- 50,602,Touring,2013-07-01,Components,Touring Frames,Yes
157,496,CO_TF,FR-T98Y-54,HL Touring Frame - Yellow- 54,602,Touring,2013-07-01,Components,Touring Frames,Yes
158,492,CO_TF,FR-T98Y-60,HL Touring Frame - Yellow- 60,602,Touring,2013-07-01,Components,Touring Frames,Yes
159,549,CO_MF,FR-M63S-38,ML Mountain Frame-W - Silver- 38,199,Mountain,2013-07-01,Components,Mountain Frames,Yes
160,511,CO_MF,FR-M63S-40,ML Mountain Frame-W - Silver- 40,199,Mountain,2013-07-01,Components,Mountain Frames,Yes
161,512,CO_MF,FR-M63S-42,ML Mountain Frame-W - Silver- 42,199,Mountain,2013-07-01,Components,Mountain Frames,Yes
162,513,CO_MF,FR-M63S-46,ML Mountain Frame-W - Silver- 46,199,Mountain,2013-07-01,Components,Mountain Frames,Yes
163,306,CO_MF,FR-M94B-38,HL Mountain Frame - Black- 38,739,Mountain,2013-07-01,Components,Mountain Frames,Yes
164,298,CO_MF,FR-M94B-42,HL Mountain Frame - Black- 42,739,Mountain,2013-07-01,Components,Mountain Frames,Yes
165,550,CO_MF,FR-M21B-40,LL Mountain Frame - Black- 40,137,Mountain,2013-07-01,Components,Mountain Frames,Yes
166,531,CO_MF,FR-M21B-42,LL Mountain Frame - Black- 42,137,Mountain,2013-07-01,Components,Mountain Frames,Yes
167,532,CO_MF,FR-M21B-44,LL Mountain Frame - Black- 44,137,Mountain,2013-07-01,Components,Mountain Frames,Yes
168,533,CO_MF,FR-M21B-48,LL Mountain Frame - Black- 48,137,Mountain,2013-07-01,Components,Mountain Frames,Yes
169,534,CO_MF,FR-M21B-52,LL Mountain Frame - Black- 52,137,Mountain,2013-07-01,Components,Mountain Frames,Yes
170,551,CO_MF,FR-M21S-40,LL Mountain Frame - Silver- 40,145,Mountain,2013-07-01,Components,Mountain Frames,Yes
171,524,CO_MF,FR-M21S-42,LL Mountain Frame - Silver- 42,145,Mountain,2013-07-01,Components,Mountain Frames,Yes
172,525,CO_MF,FR-M21S-44,LL Mountain Frame - Silver- 44,145,Mountain,2013-07-01,Components,Mountain Frames,Yes
173,526,CO_MF,FR-M21S-48,LL Mountain Frame - Silver- 48,145,Mountain,2013-07-01,Components,Mountain Frames,Yes
174,527,CO_MF,FR-M21S-52,LL Mountain Frame - Silver- 52,145,Mountain,2013-07-01,Components,Mountain Frames,Yes
175,398,CO_HB,HB-M243,LL Mountain Handlebars,20,Mountain,2013-07-01,Components,Handlebars,No
176,400,CO_HB,HB-M763,ML Mountain Handlebars,27,Mountain,2013-07-01,Components,Handlebars,No
177,402,CO_HB,HB-M918,HL Mountain Handlebars,53,Mountain,2013-07-01,Components,Handlebars,No
178,404,CO_HB,HB-R504,LL Road Handlebars,20,Road,2013-07-01,Components,Handlebars,No
179,406,CO_HB,HB-R720,ML Road Handlebars,27,Road,2013-07-01,Components,Handlebars,No
180,408,CO_HB,HB-R956,HL Road Handlebars,53,Road,2013-07-01,Components,Handlebars,No
181,553,CO_HB,HB-T721,LL Touring Handlebars,20,Touring,2013-07-01,Components,Handlebars,No
182,554,CO_HB,HB-T928,HL Touring Handlebars,41,Touring,2013-07-01,Components,Handlebars,No
183,476,CL_SH,SH-W890-L,Women's Mountain Shorts- L,26,Mountain,2013-07-01,Clothing,Shorts,No
184,475,CL_SH,SH-W890-M,Women's Mountain Shorts- M,26,Mountain,2013-07-01,Clothing,Shorts,No
185,474,CL_SH,SH-W890-S,Women's Mountain Shorts- S,26,Mountain,2013-07-01,Clothing,Shorts,No
186,482,CL_SO,SO-R809-L,Racing Socks- L,3,Road,2013-07-01,Clothing,Socks,No
187,481,CL_SO,SO-R809-M,Racing Socks- M,3,Road,2013-07-01,Clothing,Socks,No
188,382,BI_RB,BK-R64Y-38,Road-550-W Yellow- 38,713,Road,2013-07-01,Bikes,Road Bikes,Yes
189,384,BI_RB,BK-R64Y-40,Road-550-W Yellow- 40,713,Road,2013-07-01,Bikes,Road Bikes,Yes
190,386,BI_RB,BK-R64Y-42,Road-550-W Yellow- 42,713,Road,2013-07-01,Bikes,Road Bikes,Yes
191,388,BI_RB,BK-R64Y-44,Road-550-W Yellow- 44,713,Road,2013-07-01,Bikes,Road Bikes,Yes
192,390,BI_RB,BK-R64Y-48,Road-550-W Yellow- 48,713,Road,2013-07-01,Bikes,Road Bikes,Yes
193,359,BI_MB,BK-M68B-38,Mountain-200 Black- 38,1252,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
194,361,BI_MB,BK-M68B-42,Mountain-200 Black- 42,1252,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
195,363,BI_MB,BK-M68B-46,Mountain-200 Black- 46,1252,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
196,353,BI_MB,BK-M68S-38,Mountain-200 Silver- 38,1266,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
197,355,BI_MB,BK-M68S-42,Mountain-200 Silver- 42,1266,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
198,357,BI_MB,BK-M68S-46,Mountain-200 Silver- 46,1266,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
199,478,AC_BC,BC-M005,Mountain Bottle Cage,4,Mountain,2013-07-01,Accessories,Bottles and Cages,No
200,479,AC_BC,BC-R205,Road Bottle Cage,3,Road,2013-07-01,Accessories,Bottles and Cages,No
201,477,AC_BC,WB-H098,Water Bottle - 30 oz.,2,Other Sales,2013-07-01,Accessories,Bottles and Cages,No
202,483,AC_BR,RA-H123,Hitch Rack - 4-Bike,45,Other Sales,2013-07-01,Accessories,Bike Racks,Yes
203,486,AC_BS,ST-1401,All-Purpose Bike Stand,59,Mountain,2013-07-01,Accessories,Bike Stands,No
204,484,AC_CL,CL-9009,Bike Wash - Dissolver,3,Other Sales,2013-07-01,Accessories,Cleaners,Yes
205,485,AC_FE,FE-6654,Fender Set - Mountain,8,Mountain,2013-07-01,Accessories,Fenders,No
206,217,AC_HE,HL-U509,Sport-100 Helmet- Black,13,Other Sales,2013-07-01,Accessories,Helmets,Yes
207,222,AC_HE,HL-U509-B,Sport-100 Helmet- Blue,13,Other Sales,2013-07-01,Accessories,Helmets,Yes
208,214,AC_HE,HL-U509-R,Sport-100 Helmet- Red,13,Other Sales,2013-07-01,Accessories,Helmets,Yes
209,487,AC_HP,HY-1023-70,Hydration Pack - 70 oz.,21,Other Sales,2013-07-01,Accessories,Hydration Packs,No
210,480,AC_TT,PK-7098,Patch Kit/8 Patches,1,Other Sales,2013-07-01,Accessories,Tires and Tubes,Yes
211,535,AC_TT,TI-M267,LL Mountain Tire,9,Mountain,2013-07-01,Accessories,Tires and Tubes,Yes
212,536,AC_TT,TI-M602,ML Mountain Tire,11,Mountain,2013-07-01,Accessories,Tires and Tubes,Yes
213,537,AC_TT,TI-M823,HL Mountain Tire,13,Mountain,2013-07-01,Accessories,Tires and Tubes,Yes
214,538,AC_TT,TI-R092,LL Road Tire,8,Road,2013-07-01,Accessories,Tires and Tubes,Yes
215,539,AC_TT,TI-R628,ML Road Tire,9,Road,2013-07-01,Accessories,Tires and Tubes,Yes
216,540,AC_TT,TI-R982,HL Road Tire,12,Road,2013-07-01,Accessories,Tires and Tubes,Yes
217,541,AC_TT,TI-T723,Touring Tire,11,Touring,2013-07-01,Accessories,Tires and Tubes,Yes
218,528,AC_TT,TT-M928,Mountain Tire Tube,2,Mountain,2013-07-01,Accessories,Tires and Tubes,Yes
219,529,AC_TT,TT-R982,Road Tire Tube,1,Road,2013-07-01,Accessories,Tires and Tubes,Yes
220,530,AC_TT,TT-T092,Touring Tire Tube,2,Touring,2013-07-01,Accessories,Tires and Tubes,Yes
221,596,BI_MB,BK-M18B-40,Mountain-500 Black- 40,295,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
222,597,BI_MB,BK-M18B-42,Mountain-500 Black- 42,295,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
223,598,BI_MB,BK-M18B-44,Mountain-500 Black- 44,295,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
224,599,BI_MB,BK-M18B-48,Mountain-500 Black- 48,295,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
225,600,BI_MB,BK-M18B-52,Mountain-500 Black- 52,295,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
226,591,BI_MB,BK-M18S-40,Mountain-500 Silver- 40,308,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
227,592,BI_MB,BK-M18S-42,Mountain-500 Silver- 42,308,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
228,593,BI_MB,BK-M18S-44,Mountain-500 Silver- 44,308,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
229,594,BI_MB,BK-M18S-48,Mountain-500 Silver- 48,308,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
230,595,BI_MB,BK-M18S-52,Mountain-500 Silver- 52,308,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
231,587,BI_MB,BK-M38S-38,Mountain-400-W Silver- 38,420,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
232,588,BI_MB,BK-M38S-40,Mountain-400-W Silver- 40,420,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
233,589,BI_MB,BK-M38S-42,Mountain-400-W Silver- 42,420,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
234,590,BI_MB,BK-M38S-46,Mountain-400-W Silver- 46,420,Mountain,2013-07-01,Bikes,Mountain Bikes,Yes
235,473,CL_VE,VE-C304-L,Classic Vest- L,24,Other Sales,2013-07-01,Clothing,Vests,No
236,472,CL_VE,VE-C304-M,Classic Vest- M,24,Other Sales,2013-07-01,Clothing,Vests,No
237,471,CL_VE,VE-C304-S,Classic Vest- S,24,Other Sales,2013-07-01,Clothing,Vests,No
